灰色药粉(大量)	0	16	0	0	0	0	-1	0	-1	0	0	50000	0
黄色药粉(大量)	0	18	0	0	0	0	-1	0	-1	0	0	50000	0
随机传送卷	2	33	0	0	0	0	-1	0	-1	0	0	1000	0
回城卷	2	29	0	0	0	0	-1	0	-1	0	0	2000	0
太阳水	0	31	0	0	0	0	-1	0	-1	0	0	2000	0
强效金创药	0	36	0	0	0	0	-1	0	-1	0	0	1000	0
强效魔法药	0	37	0	0	0	0	-1	0	-1	0	0	1000	0
苹果	0	84	10	0	0	0	-1	0	-1	0	0	0	0
盟重传送石	3	339	1	0	0	0	-1	0	-1	0	0	0	0
比奇传送石	3	340	1	0	0	0	-1	0	-1	0	0	0	0
宣传勋章(一天)	1	360	10	0	0	0	-1	0	-1	0	0	0	0
10元宝	3	346	0	0	0	0	-1	0	-1	0	0	100000	0
50元宝	3	348	0	0	0	0	-1	0	-1	0	0	500000	0
100元宝	3	349	0	0	0	0	-1	0	-1	0	0	1000000	0
500元宝	3	351	0	0	0	0	-1	0	-1	0	0	5000000	0
1000元宝	3	352	0	0	0	0	-1	0	-1	0	0	10000000	0
千里传音(大)	3	329	50	0	0	0	-1	0	-1	0	0	0	0
修复神水	0	328	10	0	0	0	-1	0	-1	0	0	0	0
还魂丹	0	312	50	0	0	0	-1	0	-1	0	0	0	0
护身符(大)	0	86	0	0	0	0	-1	0	-1	0	0	50000	0
